seq	term
c474165_g2	"Intracellular trafficking, secretion, and vesicular transport"
c405019_g1	"Signal transduction mechanisms"
c446987_g1	"Posttranslational modification, protein turnover, chaperones"
c474766_g2	"Lipid transport and metabolism"
c456371_g1	"Signal transduction mechanisms"
c477295_g3	"RNA processing and modification"
c467228_g1	"Signal transduction mechanisms"
c456427_g1	"Cytoskeleton"
c478130_g1	"Replication, recombination and repair"
c456962_g1	"Signal transduction mechanisms"
c396011_g1	"Transcription"
c477363_g1	"Energy production and conversion"
c468886_g7	"NA"
c474618_g4	"RNA processing and modification"
c465587_g3	"RNA processing and modification"
c414435_g2	"Intracellular trafficking, secretion, and vesicular transport"
c474708_g1	"Inorganic ion transport and metabolism"
c17254_g1	"Energy production and conversion"
c382627_g1	"Replication, recombination and repair"
c449532_g1	"Posttranslational modification, protein turnover, chaperones"
c473535_g2	"Energy production and conversion"
c474790_g4	"Posttranslational modification, protein turnover, chaperones"
c470628_g1	"Cytoskeleton"
c480246_g2	"NA"
c471607_g1	"Replication, recombination and repair"
c466572_g1	"Transcription"
c475696_g1	"Signal transduction mechanisms"
c471417_g2	"Posttranslational modification, protein turnover, chaperones"
c453707_g1	"NA"
c454202_g2	"RNA processing and modification"
c465121_g1	"Coenzyme transport and metabolism"
c481970_g1	"Translation, ribosomal structure and biogenesis"
c437608_g1	"Transcription"
c461874_g1	"Posttranslational modification, protein turnover, chaperones"
c440972_g1	"Signal transduction mechanisms"
c426384_g1	"Cytoskeleton"
c421064_g1	"Signal transduction mechanisms"
c480134_g3	"Transcription"
c465365_g1	"Lipid transport and metabolism"
c471233_g2	"Intracellular trafficking, secretion, and vesicular transport"
c423503_g2	"Replication, recombination and repair"
c337112_g1	"NA"
c478625_g1	"Replication, recombination and repair"
c477892_g1	"Carbohydrate transport and metabolism"
c455299_g5	"Amino acid transport and metabolism"
c472321_g2	"Replication, recombination and repair"
c475027_g2	"Amino acid transport and metabolism"
c88036_g1	"Posttranslational modification, protein turnover, chaperones"
c461747_g1	"Transcription"
c476208_g1	"Posttranslational modification, protein turnover, chaperones"
c471104_g1	"Replication, recombination and repair"
c430035_g1	"NA"
c478207_g2	"Cytoskeleton"
c459100_g1	"Energy production and conversion"
c449609_g1	"Transcription"
c423873_g1	"Posttranslational modification, protein turnover, chaperones"
c480792_g2	"Replication, recombination and repair"
c452720_g1	"Transcription"
c473010_g1	"Amino acid transport and metabolism"
c471526_g1	"Signal transduction mechanisms"
c418621_g1	"Replication, recombination and repair"
c476955_g3	"RNA processing and modification"
c469319_g1	"Posttranslational modification, protein turnover, chaperones"
c460891_g9	"NA"
c480134_g3	"Transcription"
c477040_g1	"NA"
c459592_g3	"Secondary metabolites biosynthesis, transport and catabolism"
c471429_g3	"NA"
c479831_g5	"Transcription"
c474793_g1	"Extracellular structures"
c404619_g1	"RNA processing and modification"
c480895_g8	"Replication, recombination and repair"
c480708_g2	"Lipid transport and metabolism"
c479329_g1	"Amino acid transport and metabolism"
c404042_g1	"Defense mechanisms"
c470713_g1	"Signal transduction mechanisms"
c475323_g2	"Replication, recombination and repair"
c457301_g2	"Lipid transport and metabolism"
c464197_g1	"Signal transduction mechanisms"
c428810_g1	"Transcription"
c477678_g1	"Replication, recombination and repair"
c471535_g1	"Coenzyme transport and metabolism"
c476827_g1	"Posttranslational modification, protein turnover, chaperones"
c474088_g1	"Lipid transport and metabolism"
c341622_g1	"NA"
c446987_g1	"Posttranslational modification, protein turnover, chaperones"
c449631_g1	"Energy production and conversion"
c457234_g1	"Replication, recombination and repair"
c443709_g1	"Intracellular trafficking, secretion, and vesicular transport"
c461222_g3	"NA"
c464668_g2	"Chromatin structure and dynamics"
c478408_g1	"Transcription"
c483157_g1	"Chromatin structure and dynamics"
c460161_g1	"Signal transduction mechanisms"
c456655_g1	"Lipid transport and metabolism"
c456391_g1	"Intracellular trafficking, secretion, and vesicular transport"
c477931_g3	"RNA processing and modification"
c767252_g1	"Replication, recombination and repair"
c464569_g1	"Carbohydrate transport and metabolism"
c478903_g1	"Signal transduction mechanisms"
c347502_g1	"Signal transduction mechanisms"
c452460_g1	"Signal transduction mechanisms"
c404970_g1	"Transcription"
c403227_g1	"NA"
c477426_g1	"Replication, recombination and repair"
c466349_g1	"Posttranslational modification, protein turnover, chaperones"
c463959_g1	"Lipid transport and metabolism"
c448451_g1	"Posttranslational modification, protein turnover, chaperones"
c477762_g2	"Energy production and conversion"
c449865_g1	"Posttranslational modification, protein turnover, chaperones"
c634976_g1	"Amino acid transport and metabolism"
c301577_g1	"Translation, ribosomal structure and biogenesis"
c475956_g2	"Intracellular trafficking, secretion, and vesicular transport"
c479816_g3	"Posttranslational modification, protein turnover, chaperones"
c466574_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c474766_g2	"Lipid transport and metabolism"
c480521_g2	"Replication, recombination and repair"
c480845_g2	"Transcription"
c465337_g1	"Replication, recombination and repair"
c471251_g1	"Cytoskeleton"
c456510_g1	"Intracellular trafficking, secretion, and vesicular transport"
c379865_g1	"Energy production and conversion"
c477470_g1	"Signal transduction mechanisms"
c381626_g1	"Replication, recombination and repair"
c463912_g1	"Carbohydrate transport and metabolism"
c414712_g1	"Transcription"
c481240_g1	"Replication, recombination and repair"
c479769_g2	"Signal transduction mechanisms"
c481328_g4	"NA"
c442920_g1	"Transcription"
c477159_g1	"Cytoskeleton"
c470006_g1	"Posttranslational modification, protein turnover, chaperones"
c480077_g5	"Intracellular trafficking, secretion, and vesicular transport"
c450761_g1	"Posttranslational modification, protein turnover, chaperones"
c467800_g1	"Cytoskeleton"
c438166_g2	"Translation, ribosomal structure and biogenesis"
c434650_g1	"Transcription"
c448362_g1	"Chromatin structure and dynamics"
c438979_g3	"Defense mechanisms"
c453104_g2	"Inorganic ion transport and metabolism"
c335177_g1	"Posttranslational modification, protein turnover, chaperones"
c433711_g1	"Intracellular trafficking, secretion, and vesicular transport"
c473497_g1	"Carbohydrate transport and metabolism"
c469879_g1	"Signal transduction mechanisms"
c474423_g4	"NA"
c480732_g3	"Lipid transport and metabolism"
c457876_g1	"Cell cycle control, cell division, chromosome partitioning"
c282661_g1	"Intracellular trafficking, secretion, and vesicular transport"
c477208_g1	"Signal transduction mechanisms"
c466228_g2	"Replication, recombination and repair"
c460768_g1	"Replication, recombination and repair"
c476532_g3	"Replication, recombination and repair"
c474375_g1	"Nucleotide transport and metabolism"
c442833_g2	"Posttranslational modification, protein turnover, chaperones"
c269180_g1	"NA"
c464553_g1	"Replication, recombination and repair"
c450941_g1	"Posttranslational modification, protein turnover, chaperones"
c479209_g4	"Transcription"
c422844_g1	"NA"
c460874_g1	"NA"
c446082_g1	"Amino acid transport and metabolism"
c480138_g2	"NA"
c474282_g2	"Transcription"
c481370_g2	"Amino acid transport and metabolism"
c479937_g4	"NA"
c401650_g2	"NA"
c457780_g1	"Energy production and conversion"
c465362_g2	"Chromatin structure and dynamics"
c402306_g2	"Amino acid transport and metabolism"
c475791_g1	"Transcription"
c460310_g1	"Intracellular trafficking, secretion, and vesicular transport"
c443942_g2	"Energy production and conversion"
c479747_g3	"Posttranslational modification, protein turnover, chaperones"
c473325_g1	"Translation, ribosomal structure and biogenesis"
c428320_g1	"Translation, ribosomal structure and biogenesis"
c396584_g1	"Posttranslational modification, protein turnover, chaperones"
c424968_g2	"Intracellular trafficking, secretion, and vesicular transport"
c466819_g1	"Intracellular trafficking, secretion, and vesicular transport"
c480894_g1	"Inorganic ion transport and metabolism"
c458420_g2	"NA"
c475250_g1	"Signal transduction mechanisms"
c460763_g2	"Cell cycle control, cell division, chromosome partitioning"
c479068_g1	"NA"
c469412_g1	"Cell cycle control, cell division, chromosome partitioning"
c461549_g1	"Translation, ribosomal structure and biogenesis"
c440972_g1	"Signal transduction mechanisms"
c451512_g1	"Transcription"
c479385_g3	"Amino acid transport and metabolism"
c82155_g1	"Posttranslational modification, protein turnover, chaperones"
c474819_g1	"Carbohydrate transport and metabolism"
c474235_g2	"Transcription"
c478636_g2	"NA"
c479302_g1	"NA"
c464123_g4	"Cell wall/membrane/envelope biogenesis"
c466409_g3	"Secondary metabolites biosynthesis, transport and catabolism"
c471208_g3	"Signal transduction mechanisms"
c445489_g3	"NA"
c476773_g1	"Lipid transport and metabolism"
c474635_g2	"Transcription"
c474895_g1	"Translation, ribosomal structure and biogenesis"
c440379_g1	"NA"
c460710_g1	"Signal transduction mechanisms"
c470821_g1	"Transcription"
c478103_g1	"Energy production and conversion"
c475303_g1	"Replication, recombination and repair"
c434900_g1	"Carbohydrate transport and metabolism"
c471282_g2	"Posttranslational modification, protein turnover, chaperones"
c316721_g1	"Intracellular trafficking, secretion, and vesicular transport"
c464340_g1	"Inorganic ion transport and metabolism"
c456799_g1	"Signal transduction mechanisms"
c475804_g2	"Signal transduction mechanisms"
c461248_g1	"Translation, ribosomal structure and biogenesis"
c389988_g1	"NA"
c468884_g2	"Signal transduction mechanisms"
c461240_g1	"Energy production and conversion"
c147514_g1	"Inorganic ion transport and metabolism"
c453065_g2	"Inorganic ion transport and metabolism"
c469848_g4	"NA"
c453587_g1	"Signal transduction mechanisms"
c478536_g3	"NA"
c466454_g3	"Transcription"
c404825_g1	"Translation, ribosomal structure and biogenesis"
c452051_g2	"Signal transduction mechanisms"
c419435_g1	"Translation, ribosomal structure and biogenesis"
c425552_g1	"Replication, recombination and repair"
c464249_g1	"Chromatin structure and dynamics"
c427655_g1	"Transcription"
c405129_g1	"Cell cycle control, cell division, chromosome partitioning"
c464341_g1	"RNA processing and modification"
c325733_g1	"Signal transduction mechanisms"
c479273_g2	"Replication, recombination and repair"
c468725_g1	"Energy production and conversion"
c479387_g1	"Cytoskeleton"
c479100_g2	"Energy production and conversion"
c459917_g1	"Lipid transport and metabolism"
c467099_g7	"Replication, recombination and repair"
c471296_g2	"Signal transduction mechanisms"
c456111_g1	"Transcription"
c472669_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c341158_g1	"Posttranslational modification, protein turnover, chaperones"
c478183_g1	"Posttranslational modification, protein turnover, chaperones"
c481099_g1	"Replication, recombination and repair"
c466345_g3	"Replication, recombination and repair"
c462876_g3	"Transcription"
c378681_g1	"Replication, recombination and repair"
c454021_g1	"Intracellular trafficking, secretion, and vesicular transport"
c478197_g12	"Replication, recombination and repair"
c472340_g5	"Posttranslational modification, protein turnover, chaperones"
c479202_g1	"Posttranslational modification, protein turnover, chaperones"
c458241_g1	"Replication, recombination and repair"
c476005_g4	"Signal transduction mechanisms"
c472964_g1	"Amino acid transport and metabolism"
c471870_g10	"Replication, recombination and repair"
c479832_g3	"Replication, recombination and repair"
c428928_g1	"RNA processing and modification"
c474329_g1	"Transcription"
c480652_g1	"Signal transduction mechanisms"
c401616_g1	"Translation, ribosomal structure and biogenesis"
c453488_g2	"Replication, recombination and repair"
c481147_g1	"Translation, ribosomal structure and biogenesis"
c462893_g1	"Cytoskeleton"
c466533_g1	"Energy production and conversion"
c415988_g3	"Signal transduction mechanisms"
c473630_g3	"Inorganic ion transport and metabolism"
c469837_g1	"Signal transduction mechanisms"
c455317_g1	"Lipid transport and metabolism"
c451159_g2	"Signal transduction mechanisms"
c471839_g1	"Signal transduction mechanisms"
c445363_g1	"Carbohydrate transport and metabolism"
c472628_g2	"Amino acid transport and metabolism"
c465380_g5	"NA"
c466242_g1	"Intracellular trafficking, secretion, and vesicular transport"
c390403_g1	"Transcription"
c443350_g1	"Cytoskeleton"
c429852_g2	"NA"
c462276_g1	"Intracellular trafficking, secretion, and vesicular transport"
c474853_g1	"Transcription"
c480531_g1	"Replication, recombination and repair"
c463247_g1	"Intracellular trafficking, secretion, and vesicular transport"
c464793_g1	"Transcription"
c478995_g13	"Replication, recombination and repair"
c466280_g5	"Lipid transport and metabolism"
c471076_g1	"Signal transduction mechanisms"
c476666_g1	"Energy production and conversion"
c414402_g1	"NA"
c450761_g1	"Posttranslational modification, protein turnover, chaperones"
c456191_g3	"Chromatin structure and dynamics"
c473860_g1	"Signal transduction mechanisms"
c458789_g1	"Signal transduction mechanisms"
c462130_g2	"Inorganic ion transport and metabolism"
c471457_g1	"Transcription"
c478825_g2	"Cytoskeleton"
c441493_g1	"Transcription"
c456756_g1	"Amino acid transport and metabolism"
c473212_g1	"Replication, recombination and repair"
c471233_g2	"Intracellular trafficking, secretion, and vesicular transport"
c468320_g1	"NA"
c149677_g1	"Signal transduction mechanisms"
c403257_g1	"Cytoskeleton"
c463145_g1	"Posttranslational modification, protein turnover, chaperones"
c468142_g2	"Energy production and conversion"
c474019_g2	"Signal transduction mechanisms"
c443517_g1	"Transcription"
c435917_g1	"Posttranslational modification, protein turnover, chaperones"
c344208_g1	"Chromatin structure and dynamics"
c461244_g1	"Posttranslational modification, protein turnover, chaperones"
c477641_g4	"Signal transduction mechanisms"
c462655_g2	"Transcription"
c467217_g3	"Transcription"
c381930_g1	"Amino acid transport and metabolism"
c466351_g1	"Translation, ribosomal structure and biogenesis"
c478441_g8	"Energy production and conversion"
c471510_g1	"NA"
c464188_g3	"Replication, recombination and repair"
c459643_g1	"Replication, recombination and repair"
c462621_g1	"Cell wall/membrane/envelope biogenesis"
c474171_g1	"Transcription"
c456887_g9	"Defense mechanisms"
c457943_g5	"Energy production and conversion"
c466951_g3	"Replication, recombination and repair"
c467537_g7	"NA"
c478303_g2	"NA"
c457192_g2	"Carbohydrate transport and metabolism"
c472195_g1	"Nucleotide transport and metabolism"
c468449_g1	"Energy production and conversion"
c147301_g1	"Posttranslational modification, protein turnover, chaperones"
c477805_g1	"Signal transduction mechanisms"
c479587_g2	"Replication, recombination and repair"
c455290_g1	"Carbohydrate transport and metabolism"
c449905_g1	"Replication, recombination and repair"
c456828_g1	"Energy production and conversion"
c474304_g1	"Posttranslational modification, protein turnover, chaperones"
c462876_g3	"Transcription"
c454307_g2	"Cell cycle control, cell division, chromosome partitioning"
c450083_g1	"Replication, recombination and repair"
c442833_g2	"Posttranslational modification, protein turnover, chaperones"
c444569_g1	"Intracellular trafficking, secretion, and vesicular transport"
c472779_g1	"Translation, ribosomal structure and biogenesis"
c462923_g1	"NA"
c405927_g1	"Translation, ribosomal structure and biogenesis"
c481235_g1	"Replication, recombination and repair"
c480790_g2	"Posttranslational modification, protein turnover, chaperones"
c471190_g1	"Intracellular trafficking, secretion, and vesicular transport"
c477239_g1	"NA"
c475576_g1	"Transcription"
c475531_g2	"Signal transduction mechanisms"
c470861_g1	"Intracellular trafficking, secretion, and vesicular transport"
c453327_g1	"Lipid transport and metabolism"
c473001_g1	"Carbohydrate transport and metabolism"
c480947_g3	"Energy production and conversion"
c431093_g2	"Signal transduction mechanisms"
c435757_g1	"Replication, recombination and repair"
c467563_g1	"Transcription"
c478446_g1	"Transcription"
c457166_g1	"Coenzyme transport and metabolism"
c466716_g1	"Intracellular trafficking, secretion, and vesicular transport"
c476448_g2	"Nucleotide transport and metabolism"
c443429_g1	"Energy production and conversion"
c474448_g1	"Signal transduction mechanisms"
c421330_g1	"Translation, ribosomal structure and biogenesis"
c480722_g1	"Posttranslational modification, protein turnover, chaperones"
c345964_g1	"Translation, ribosomal structure and biogenesis"
c473212_g1	"RNA processing and modification"
c479910_g2	"Signal transduction mechanisms"
c453919_g2	"Signal transduction mechanisms"
c461286_g4	"Posttranslational modification, protein turnover, chaperones"
c445551_g1	"Translation, ribosomal structure and biogenesis"
c350888_g1	"Signal transduction mechanisms"
c477610_g3	"Replication, recombination and repair"
c435542_g1	"Posttranslational modification, protein turnover, chaperones"
c477567_g1	"Signal transduction mechanisms"
c464009_g1	"Translation, ribosomal structure and biogenesis"
c475872_g6	"Replication, recombination and repair"
c476801_g4	"Translation, ribosomal structure and biogenesis"
c440972_g1	"Signal transduction mechanisms"
c471980_g1	"Replication, recombination and repair"
c436320_g1	"Chromatin structure and dynamics"
c451512_g1	"Transcription"
c480521_g7	"Replication, recombination and repair"
c435974_g1	"Signal transduction mechanisms"
c468994_g1	"Signal transduction mechanisms"
c458638_g1	"Carbohydrate transport and metabolism"
c469770_g2	"Posttranslational modification, protein turnover, chaperones"
c407558_g1	"Transcription"
c481328_g1	"Replication, recombination and repair"
c479370_g4	"Signal transduction mechanisms"
c472770_g1	"Signal transduction mechanisms"
c471607_g1	"Replication, recombination and repair"
c453127_g1	"Intracellular trafficking, secretion, and vesicular transport"
c450893_g1	"Signal transduction mechanisms"
c455629_g1	"Posttranslational modification, protein turnover, chaperones"
c463145_g1	"Posttranslational modification, protein turnover, chaperones"
c478043_g2	"Posttranslational modification, protein turnover, chaperones"
c479608_g2	"Energy production and conversion"
c423429_g1	"Posttranslational modification, protein turnover, chaperones"
c478825_g2	"Cytoskeleton"
c477778_g2	"Cytoskeleton"
c479051_g1	"Intracellular trafficking, secretion, and vesicular transport"
c470684_g1	"Cell cycle control, cell division, chromosome partitioning"
c454202_g2	"RNA processing and modification"
c473576_g1	"Posttranslational modification, protein turnover, chaperones"
c476433_g2	"Transcription"
c467705_g3	"Transcription"
c461446_g1	"Posttranslational modification, protein turnover, chaperones"
c465340_g1	"Translation, ribosomal structure and biogenesis"
c468954_g8	"Secondary metabolites biosynthesis, transport and catabolism"
c338716_g1	"Posttranslational modification, protein turnover, chaperones"
c466433_g2	"RNA processing and modification"
c467699_g1	"Signal transduction mechanisms"
c418202_g1	"Posttranslational modification, protein turnover, chaperones"
c407609_g1	"Lipid transport and metabolism"
c449378_g1	"NA"
c80491_g1	"Posttranslational modification, protein turnover, chaperones"
c475275_g1	"NA"
c441222_g2	"NA"
c342900_g1	"Intracellular trafficking, secretion, and vesicular transport"
c442826_g1	"NA"
c448083_g1	"Transcription"
c466441_g1	"Translation, ribosomal structure and biogenesis"
c425240_g1	"Transcription"
c444100_g1	"Signal transduction mechanisms"
c475304_g2	"Lipid transport and metabolism"
c453859_g2	"Transcription"
c435603_g1	"Signal transduction mechanisms"
c470348_g1	"NA"
c480356_g1	"Translation, ribosomal structure and biogenesis"
c474490_g2	"NA"
c463872_g1	"NA"
c420753_g2	"NA"
c476419_g4	"Replication, recombination and repair"
c478863_g2	"Posttranslational modification, protein turnover, chaperones"
c472445_g2	"Inorganic ion transport and metabolism"
c460185_g1	"Replication, recombination and repair"
c469511_g1	"Cytoskeleton"
c478990_g6	"Signal transduction mechanisms"
c71276_g1	"Cytoskeleton"
c478814_g2	"Replication, recombination and repair"
c446987_g1	"Posttranslational modification, protein turnover, chaperones"
c468137_g1	"Cytoskeleton"
c465773_g2	"Transcription"
c469185_g2	"Posttranslational modification, protein turnover, chaperones"
c473869_g1	"Energy production and conversion"
c465861_g2	"NA"
c459698_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c479822_g2	"Replication, recombination and repair"
c467052_g2	"Amino acid transport and metabolism"
c481016_g1	"NA"
c467652_g1	"Translation, ribosomal structure and biogenesis"
c472340_g5	"Replication, recombination and repair"
c481134_g1	"Posttranslational modification, protein turnover, chaperones"
c453317_g1	"Energy production and conversion"
c427223_g2	"RNA processing and modification"
c455324_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c474490_g2	"NA"
c464160_g3	"Cell cycle control, cell division, chromosome partitioning"
c457780_g1	"Energy production and conversion"
c465998_g1	"Transcription"
c475966_g4	"Replication, recombination and repair"
c472858_g1	"Replication, recombination and repair"
c454858_g1	"Cytoskeleton"
c440909_g1	"Inorganic ion transport and metabolism"
c381363_g1	"Translation, ribosomal structure and biogenesis"
c442993_g1	"Translation, ribosomal structure and biogenesis"
c411643_g1	"Energy production and conversion"
c436281_g1	"Intracellular trafficking, secretion, and vesicular transport"
c431091_g1	"Signal transduction mechanisms"
c480422_g4	"NA"
c474193_g1	"NA"
c474785_g2	"Signal transduction mechanisms"
c478794_g2	"NA"
c404196_g1	"Transcription"
c438998_g1	"Replication, recombination and repair"
c94307_g1	"Cytoskeleton"
c448749_g1	"NA"
c456095_g1	"Intracellular trafficking, secretion, and vesicular transport"
c466822_g1	"Chromatin structure and dynamics"
c475408_g4	"Signal transduction mechanisms"
c471045_g5	"Secondary metabolites biosynthesis, transport and catabolism"
c475887_g2	"Transcription"
c465650_g1	"Signal transduction mechanisms"
c461190_g1	"Replication, recombination and repair"
c475872_g6	"Replication, recombination and repair"
c469999_g1	"NA"
c456006_g1	"Carbohydrate transport and metabolism"
c470852_g3	"Replication, recombination and repair"
c456355_g1	"NA"
c454539_g2	"Carbohydrate transport and metabolism"
c433459_g1	"Signal transduction mechanisms"
c477013_g2	"Amino acid transport and metabolism"
c468190_g1	"Transcription"
c477779_g1	"Translation, ribosomal structure and biogenesis"
c469157_g3	"Translation, ribosomal structure and biogenesis"
c420912_g1	"Intracellular trafficking, secretion, and vesicular transport"
c469967_g1	"Carbohydrate transport and metabolism"
c465949_g10	"Transcription"
c317882_g1	"NA"
c466848_g2	"Intracellular trafficking, secretion, and vesicular transport"
c461881_g1	"Energy production and conversion"
c440936_g1	"Signal transduction mechanisms"
c468032_g7	"Replication, recombination and repair"
c477399_g1	"Translation, ribosomal structure and biogenesis"
c469185_g3	"Posttranslational modification, protein turnover, chaperones"
c467202_g1	"Nucleotide transport and metabolism"
c320197_g1	"Lipid transport and metabolism"
c472455_g11	"Transcription"
c475531_g2	"Signal transduction mechanisms"
c338209_g1	"NA"
c463484_g1	"NA"
c470972_g2	"Posttranslational modification, protein turnover, chaperones"
c465553_g1	"Translation, ribosomal structure and biogenesis"
c478408_g1	"Transcription"
c453061_g1	"Replication, recombination and repair"
c478825_g2	"Cytoskeleton"
c407132_g1	"Cytoskeleton"
c478958_g6	"Carbohydrate transport and metabolism"
c478650_g1	"Posttranslational modification, protein turnover, chaperones"
c455345_g1	"Transcription"
c480790_g1	"Energy production and conversion"
c480760_g1	"Signal transduction mechanisms"
c478843_g1	"Chromatin structure and dynamics"
c435315_g1	"Signal transduction mechanisms"
c297082_g1	"NA"
c409403_g1	"Amino acid transport and metabolism"
c465319_g4	"Amino acid transport and metabolism"
c447942_g1	"Posttranslational modification, protein turnover, chaperones"
c472964_g1	"Amino acid transport and metabolism"
c433992_g1	"Chromatin structure and dynamics"
c465471_g1	"Energy production and conversion"
c408784_g1	"Replication, recombination and repair"
c448070_g1	"RNA processing and modification"
c448123_g1	"Nucleotide transport and metabolism"
c474165_g2	"Intracellular trafficking, secretion, and vesicular transport"
c479839_g2	"Lipid transport and metabolism"
c473027_g1	"NA"
c462192_g2	"Energy production and conversion"
c429498_g1	"Chromatin structure and dynamics"
c469804_g1	"Replication, recombination and repair"
c471466_g2	"RNA processing and modification"
c411343_g1	"Transcription"
c469570_g4	"Translation, ribosomal structure and biogenesis"
c463258_g1	"Transcription"
c442687_g1	"Energy production and conversion"
c469720_g1	"Posttranslational modification, protein turnover, chaperones"
c470107_g1	"Amino acid transport and metabolism"
c464160_g3	"Cell cycle control, cell division, chromosome partitioning"
c331291_g1	"NA"
c464160_g6	"Intracellular trafficking, secretion, and vesicular transport"
c452818_g1	"Energy production and conversion"
c82739_g1	"Signal transduction mechanisms"
c450280_g1	"NA"
c455180_g1	"Replication, recombination and repair"
c475554_g1	"Signal transduction mechanisms"
c463689_g5	"Signal transduction mechanisms"
c480337_g3	"NA"
c455523_g2	"Cytoskeleton"
c478408_g1	"Transcription"
c453127_g1	"Intracellular trafficking, secretion, and vesicular transport"
c476234_g1	"Replication, recombination and repair"
c457343_g1	"Signal transduction mechanisms"
c449876_g1	"Nucleotide transport and metabolism"
c343791_g1	"Transcription"
c448705_g1	"Transcription"
c404369_g1	"Inorganic ion transport and metabolism"
c410056_g2	"Amino acid transport and metabolism"
c474819_g1	"Carbohydrate transport and metabolism"
c461529_g2	"Posttranslational modification, protein turnover, chaperones"
c464642_g1	"Posttranslational modification, protein turnover, chaperones"
c411897_g1	"Signal transduction mechanisms"
c451457_g1	"Replication, recombination and repair"
c480722_g1	"Nucleotide transport and metabolism"
c463290_g1	"Energy production and conversion"
c438274_g1	"Cell cycle control, cell division, chromosome partitioning"
c458446_g4	"Intracellular trafficking, secretion, and vesicular transport"
c470583_g2	"Amino acid transport and metabolism"
c466242_g1	"Intracellular trafficking, secretion, and vesicular transport"
c462893_g2	"Nucleotide transport and metabolism"
c459607_g1	"Replication, recombination and repair"
c474250_g2	"Lipid transport and metabolism"
c71224_g1	"Signal transduction mechanisms"
c476993_g1	"Nucleotide transport and metabolism"
c460191_g1	"Signal transduction mechanisms"
c476504_g1	"Posttranslational modification, protein turnover, chaperones"
c466180_g1	"NA"
c448628_g2	"NA"
c255772_g1	"Signal transduction mechanisms"
c480313_g1	"Amino acid transport and metabolism"
c272602_g1	"Signal transduction mechanisms"
c423444_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c442826_g1	"NA"
c456675_g1	"Transcription"
c474533_g1	"Signal transduction mechanisms"
c474853_g1	"Transcription"
c479329_g1	"Amino acid transport and metabolism"
c478328_g2	"Transcription"
c467204_g1	"Transcription"
c466837_g5	"Replication, recombination and repair"
c473862_g1	"Posttranslational modification, protein turnover, chaperones"
c436005_g1	"Translation, ribosomal structure and biogenesis"
c471665_g1	"Posttranslational modification, protein turnover, chaperones"
c479910_g2	"Signal transduction mechanisms"
c475791_g1	"Transcription"
c477779_g1	"Translation, ribosomal structure and biogenesis"
c472353_g7	"Cytoskeleton"
c461277_g2	"Posttranslational modification, protein turnover, chaperones"
c447921_g1	"Signal transduction mechanisms"
c475480_g3	"Lipid transport and metabolism"
c474935_g3	"Amino acid transport and metabolism"
c465883_g2	"Posttranslational modification, protein turnover, chaperones"
c477782_g1	"Transcription"
c454705_g1	"Energy production and conversion"
c476955_g3	"RNA processing and modification"
c441324_g1	"Nucleotide transport and metabolism"
c489211_g1	"NA"
c478870_g1	"Amino acid transport and metabolism"
c449609_g1	"Transcription"
c464238_g1	"Intracellular trafficking, secretion, and vesicular transport"
c451746_g1	"Transcription"
c456765_g1	"Replication, recombination and repair"
c367119_g1	"RNA processing and modification"
c442173_g1	"Transcription"
c452919_g1	"Posttranslational modification, protein turnover, chaperones"
c421651_g1	"Carbohydrate transport and metabolism"
c466864_g3	"Secondary metabolites biosynthesis, transport and catabolism"
c475850_g2	"Translation, ribosomal structure and biogenesis"
c467849_g1	"Cell cycle control, cell division, chromosome partitioning"
c471075_g3	"NA"
c457053_g1	"Intracellular trafficking, secretion, and vesicular transport"
c473621_g5	"Cell wall/membrane/envelope biogenesis"
c471929_g5	"Chromatin structure and dynamics"
c409966_g1	"Transcription"
c474992_g1	"Cell cycle control, cell division, chromosome partitioning"
c451592_g1	"NA"
c477884_g3	"Energy production and conversion"
c477067_g2	"Amino acid transport and metabolism"
c476419_g4	"Replication, recombination and repair"
c464086_g1	"Amino acid transport and metabolism"
c448750_g2	"Lipid transport and metabolism"
c476043_g1	"Replication, recombination and repair"
c414688_g1	"Energy production and conversion"
c447514_g1	"Lipid transport and metabolism"
c474689_g1	"Transcription"
c450875_g2	"Signal transduction mechanisms"
c476060_g3	"NA"
c391403_g1	"Signal transduction mechanisms"
c438681_g2	"Signal transduction mechanisms"
c463875_g2	"Translation, ribosomal structure and biogenesis"
c475027_g1	"Replication, recombination and repair"
c479649_g2	"Posttranslational modification, protein turnover, chaperones"
c286327_g1	"Amino acid transport and metabolism"
c216531_g1	"Carbohydrate transport and metabolism"
c401759_g1	"Transcription"
c478605_g1	"Amino acid transport and metabolism"
c443934_g2	"Replication, recombination and repair"
c447695_g1	"Replication, recombination and repair"
c441626_g1	"Translation, ribosomal structure and biogenesis"
c472964_g1	"Transcription"
c466349_g1	"Posttranslational modification, protein turnover, chaperones"
c439620_g2	"Posttranslational modification, protein turnover, chaperones"
c471874_g3	"NA"
c469837_g1	"Signal transduction mechanisms"
c457070_g1	"Energy production and conversion"
c465659_g2	"Signal transduction mechanisms"
c364363_g1	"Amino acid transport and metabolism"
c478957_g1	"Energy production and conversion"
